# Time(s)	Magnetic_Field(uT)
6.677562236785888672e+00	2.646906962520814764e-04
6.689536809921264648e+00	3.062159902522226503e-05
6.702086925506591797e+00	2.588768983403422794e-04
6.714200019836425781e+00	-4.743038584619968171e-05
6.726185083389282227e+00	1.548191661634340554e-04
6.738074779510498047e+00	3.050572235620939844e-04
6.749794483184814453e+00	2.385807200817030419e-04
6.761623859405517578e+00	-1.052904213238746092e-04
6.773806571960449219e+00	-7.930204549586995051e-05
6.785536289215087891e+00	2.181404477020611556e-05
6.797552585601806641e+00	2.067264319095143781e-04
6.809442281723022461e+00	-1.458132919312253768e-04
6.820987462997436523e+00	-1.776154656709679586e-04
6.856678009033203125e+00	-4.261188445207829142e-06
6.868652582168579102e+00	5.062246216667044395e-05
6.880496978759765625e+00	2.239767393924292529e-04
6.892629861831665039e+00	1.083782687794531736e-04
6.904603004455566406e+00	7.368656756132324192e-05
6.916622161865234375e+00	1.950293501761108381e-04
6.929486274719238281e+00	3.897749486571040425e-05
6.941012382507324219e+00	1.892155522643716140e-04
6.952405214309692383e+00	-9.686503957345878307e-05
6.964254140853881836e+00	5.915207278197714665e-05
6.976161003112792969e+00	-7.667309017971043572e-05
6.988084316253662109e+00	-5.068471435170709158e-05
7.000073194503784180e+00	1.082219254821162015e-04
7.011849880218505859e+00	2.440825713140111941e-05
7.023716211318969727e+00	7.351285278650467167e-05
7.035479307174682617e+00	2.959890971448499186e-04
7.047770261764526367e+00	9.659432965863906781e-05
7.060037612915039062e+00	-7.446031040787547828e-06
7.071955204010009766e+00	2.814893453204670467e-04
7.083932876586914062e+00	-5.949226860672325460e-05
